제약 유형,수업 ID,고정 요일,고정 시작 교시,교사,요일,1교시,2교시,3교시,4교시,5교시,6교시,7교시,8교시
STRICT,class-001,Monday,1,,,,,,,,,,
STRICT,class-002,Thursday,5,,,,,,,,,,
STRICT,class-003,Wednesday,3,,,,,,,,,,
TEACHER_AVAILABILITY,,,,JH,Monday,Y,Y,Y,Y,Y,Y,Y,N
TEACHER_AVAILABILITY,,,,JH,Tuesday,Y,Y,Y,Y,Y,Y,Y,N
TEACHER_AVAILABILITY,,,,JH,Wednesday,Y,Y,Y,Y,Y,Y,Y,N
TEACHER_AVAILABILITY,,,,JH,Thursday,Y,Y,Y,Y,Y,Y,Y,N
TEACHER_AVAILABILITY,,,,JH,Friday,Y,Y,Y,Y,Y,Y,Y,N
TEACHER_AVAILABILITY,,,,SY,Monday,Y,Y,Y,Y,N,N,N,N
TEACHER_AVAILABILITY,,,,SY,Tuesday,Y,Y,Y,Y,N,N,N,N
TEACHER_AVAILABILITY,,,,SY,Wednesday,Y,Y,Y,Y,N,N,N,N
TEACHER_AVAILABILITY,,,,SY,Thursday,Y,Y,Y,Y,N,N,N,N
TEACHER_AVAILABILITY,,,,SY,Friday,Y,Y,Y,Y,N,N,N,N
